satisfaction_level_std_dep,last_evaluation_std_dep,overwork,left,satisfaction_level,last_evaluation,number_project,monthly_hours,time_spend_company,work_accident,promotion_last_5years,department,salary
-0.9368475175503425,-1.0481633911086432,FALSE,TRUE,0.38,0.53,2,157,3,FALSE,FALSE,sales,low
0.7414686583766885,0.8764912934237388,TRUE,TRUE,0.8,0.86,5,262,6,FALSE,FALSE,sales,medium
-2.0157650592177196,0.9931370318802468,TRUE,TRUE,0.11,0.88,7,272,4,FALSE,FALSE,sales,medium
0.42178938677153954,0.9348141626519928,TRUE,TRUE,0.72,0.87,5,223,5,FALSE,FALSE,sales,low
-0.9768074265009861,-1.1064862603368972,FALSE,TRUE,0.37,0.52,2,159,3,FALSE,FALSE,sales,low
-0.8169677906984119,-1.2231319987934053,FALSE,TRUE,0.41,0.5,2,153,3,FALSE,FALSE,sales,low
-2.0557249681683634,0.35158547036945287,TRUE,TRUE,0.1,0.77,6,247,4,FALSE,FALSE,sales,low
1.2209875657844116,0.8181684241954846,TRUE,TRUE,0.92,0.85,5,259,5,FALSE,FALSE,sales,low
1.1011078389324807,1.693011462619295,TRUE,TRUE,0.89,1,5,224,5,FALSE,FALSE,sales,low
-0.7770078817477682,-1.0481633911086432,FALSE,TRUE,0.42,0.53,2,142,3,FALSE,FALSE,sales,low
-0.6571281548958373,-0.9898405218803892,FALSE,TRUE,0.45,0.54,2,135,3,FALSE,FALSE,sales,low
-2.0157650592177196,0.5848769472824691,TRUE,TRUE,0.11,0.81,6,305,4,FALSE,FALSE,sales,low
0.9013082941792626,1.2264285087932632,TRUE,TRUE,0.84,0.92,4,234,5,FALSE,FALSE,sales,low
-0.8169677906984119,-0.931517652652135,FALSE,TRUE,0.41,0.55,2,148,3,FALSE,FALSE,sales,low
-1.0167673354516298,-0.873194783423881,FALSE,TRUE,0.36,0.56,2,137,3,FALSE,FALSE,sales,low
-0.9368475175503425,-0.9898405218803892,FALSE,TRUE,0.38,0.54,2,143,3,FALSE,FALSE,sales,low
-0.6571281548958373,-1.3981006064781676,FALSE,TRUE,0.45,0.47,2,160,3,FALSE,FALSE,sales,low
0.6615488404754013,1.634688593391041,TRUE,TRUE,0.78,0.99,4,255,6,FALSE,FALSE,sales,low
-0.6571281548958373,-1.1648091295651513,FALSE,TRUE,0.45,0.51,2,160,3,TRUE,TRUE,sales,low
0.581629022574114,1.0514599011085008,TRUE,TRUE,0.76,0.89,5,262,5,FALSE,FALSE,sales,low
-2.0157650592177196,0.7015226857389766,TRUE,TRUE,0.11,0.83,6,282,4,FALSE,FALSE,sales,low
-0.9368475175503425,-0.931517652652135,FALSE,TRUE,0.38,0.55,2,147,3,FALSE,FALSE,sales,low
-2.0956848771190066,1.4013971164780246,TRUE,TRUE,0.09,0.95,6,304,4,FALSE,FALSE,sales,low
-0.6171682459451937,-0.8148719141956277,FALSE,TRUE,0.46,0.57,2,139,3,FALSE,FALSE,sales,low
-0.8569276996490552,-1.0481633911086432,FALSE,TRUE,0.4,0.53,2,158,3,FALSE,FALSE,sales,low
1.1011078389324807,1.2264285087932632,TRUE,TRUE,0.89,0.92,5,242,5,FALSE,FALSE,sales,low
0.8213884762779754,0.9348141626519928,TRUE,TRUE,0.82,0.87,4,239,5,FALSE,FALSE,sales,low
-0.8569276996490552,-1.2814548680216593,FALSE,TRUE,0.4,0.49,2,135,3,FALSE,FALSE,sales,low
