satisfaction_level_rel_department,last_evaluation_rel_department,department,left
-0.9368475175503425,-1.0481633911086432,sales,TRUE
0.7414686583766885,0.8764912934237388,sales,TRUE
-2.0157650592177196,0.9931370318802468,sales,TRUE
0.42178938677153954,0.9348141626519928,sales,TRUE
-0.9768074265009861,-1.1064862603368972,sales,TRUE
-0.8169677906984119,-1.2231319987934053,sales,TRUE
-2.0557249681683634,0.35158547036945287,sales,TRUE
1.2209875657844116,0.8181684241954846,sales,TRUE
1.1011078389324807,1.693011462619295,sales,TRUE
-0.7770078817477682,-1.0481633911086432,sales,TRUE
-0.6571281548958373,-0.9898405218803892,sales,TRUE
-2.0157650592177196,0.5848769472824691,sales,TRUE
0.9013082941792626,1.2264285087932632,sales,TRUE
-0.8169677906984119,-0.931517652652135,sales,TRUE
-1.0167673354516298,-0.873194783423881,sales,TRUE
-0.9368475175503425,-0.9898405218803892,sales,TRUE
-0.6571281548958373,-1.3981006064781676,sales,TRUE
0.6615488404754013,1.634688593391041,sales,TRUE
-0.6571281548958373,-1.1648091295651513,sales,TRUE
0.581629022574114,1.0514599011085008,sales,TRUE
-2.0157650592177196,0.7015226857389766,sales,TRUE
-0.9368475175503425,-0.931517652652135,sales,TRUE
-2.0956848771190066,1.4013971164780246,sales,TRUE
-0.6171682459451937,-0.8148719141956277,sales,TRUE
-0.8569276996490552,-1.0481633911086432,sales,TRUE
1.1011078389324807,1.2264285087932632,sales,TRUE
0.8213884762779754,0.9348141626519928,sales,TRUE
-0.8569276996490552,-1.2814548680216593,sales,TRUE
-0.6744802812524353,-1.4991977177634175,accounting,TRUE
-0.7920188398075589,-1.26650997566304,accounting,TRUE
-1.928224905840422,-0.568446749361907,accounting,TRUE
-0.6002090313700804,-0.7953180418029758,hr,TRUE
-0.8018797025451687,-1.1389921668740595,hr,TRUE
-0.6002090313700804,-0.9098760834933366,hr,TRUE
0.9728222037956086,0.9230525835524442,hr,TRUE
-1.9980748798506043,1.2626634525697495,technical,TRUE
-0.8965505519600663,-1.5060730545011183,technical,TRUE
-0.6211694699874318,-1.2753450122452126,technical,TRUE
-1.958734725283085,0.9742533997498679,technical,TRUE
-0.7785300882575088,-1.0446169699893066,technical,TRUE
1.0311170218483747,0.9165713891858914,technical,TRUE
-0.6211694699874318,-1.3907090333731655,technical,TRUE
-0.8178702428250278,-1.5060730545011183,technical,TRUE
-1.9980748798506043,0.4551153046740803,technical,TRUE
-2.037415034418123,0.9742533997498679,technical,TRUE
0.913096558145817,0.10902324129022146,technical,TRUE
-0.8859349671920441,-1.011008979306829,support,TRUE
-0.19601668461722502,-0.13496364620353202,support,TRUE
-0.8859349671920441,-1.0694120015137156,support,TRUE
-0.764184682031782,-1.4782331569619216,support,TRUE
-1.9816875336344044,0.3322605314515604,support,TRUE
-0.7236012536450279,-1.011008979306829,support,TRUE
-0.9671018239655523,-1.011008979306829,support,TRUE
-0.9265183955787982,-1.0694120015137156,support,TRUE
-2.1034378187946667,1.1499028423479716,support,TRUE
-1.0076852523523065,-1.5366361791688077,support,TRUE
-2.062854390407913,1.266708886761744,support,TRUE
-1.9980748798506043,0.5127973152380568,technical,TRUE
-0.8965505519600663,-1.0446169699893066,technical,TRUE
0.9524367127133363,1.6087555159536084,technical,TRUE
1.003969281881028,1.160594436923628,management,TRUE
-2.0333560095323353,1.2958038299825787,IT,TRUE
-2.0733715322142734,1.4173783290947226,IT,TRUE
-1.032967942483876,-0.9533244035920916,IT,TRUE
-2.0333560095323353,1.3565910795386502,IT,TRUE
0.7677305782033509,-0.10230290980708179,IT,TRUE
-0.7827106996679366,-0.9809649896662103,product_mng,TRUE
1.1572037932711168,1.4889035956203827,product_mng,TRUE
0.5793569230339518,0.8153030723604027,product_mng,TRUE
-0.7827106996679366,-1.205498497419537,product_mng,TRUE
0.487621919429782,1.6605273273190115,IT,TRUE
-2.186053098815337,0.31010267991541784,product_mng,TRUE
-0.700161146776913,-1.2616318743578687,product_mng,TRUE
-2.186053098815337,0.8714364492987343,product_mng,TRUE
-2.103503545924313,1.4327702186820508,product_mng,TRUE
-2.103503545924313,0.4223694337920813,product_mng,TRUE
-2.144778322369825,0.6469029415454075,product_mng,TRUE
-0.8948804417326021,-1.0140585602536485,marketing,TRUE
-0.7370479727971245,-0.873194783423881,sales,TRUE
-0.7528393202891843,-0.9174783625124732,accounting,TRUE
-0.6830178252582738,-1.0694120015137156,support,TRUE
-0.8965505519600663,-1.3330270228091892,technical,TRUE
0.7405188212416471,-0.8361271749879898,management,TRUE
0.9063312471290522,0.7732272117711702,marketing,TRUE
-2.082042691209602,0.3119921738292816,marketing,TRUE
-2.082042691209602,0.8885359712566424,marketing,TRUE
-1.7760056055138578,0.7598455549672306,sales,TRUE
-0.6970880638464809,-1.5147463449346754,sales,TRUE
-0.9768074265009861,-0.8148719141956277,sales,TRUE
-2.0557249681683634,0.468231208825961,sales,TRUE
-0.8569276996490552,-1.2231319987934053,sales,TRUE
1.1011078389324807,1.693011462619295,sales,TRUE
-0.7770078817477682,-1.3397777372499136,sales,TRUE
-0.6171682459451937,-0.931517652652135,sales,TRUE
-2.0956848771190066,0.7015226857389766,sales,TRUE
-0.9768074265009861,-1.1648091295651513,sales,TRUE
-2.0557249681683634,0.35158547036945287,sales,TRUE
-2.0557249681683634,0.7598455549672306,sales,TRUE
-2.0157650592177196,1.5180428549345326,sales,TRUE
1.1410677478831244,1.693011462619295,sales,TRUE
-0.9368475175503425,-1.1064862603368972,sales,TRUE
-1.0167673354516298,-1.1064862603368972,sales,TRUE
-0.7770078817477682,-1.4564234757064212,sales,TRUE
-2.0956848771190066,1.3430742472497705,sales,TRUE
-0.7370479727971245,-1.1064862603368972,sales,TRUE
-1.3405321130648031,-1.4991977177634175,accounting,TRUE
1.2844956946662938,1.6420868005916809,accounting,TRUE
-0.5569417226973116,-1.26650997566304,accounting,TRUE
0.44847845874037884,0.9230525835524442,hr,TRUE
-0.8018797025451687,-1.2535502085644208,hr,TRUE
-0.6808772998401158,-1.3681082502547823,hr,TRUE
-2.0522378638307166,0.8084945418620828,hr,TRUE
-0.6998497791224704,-1.1599809911172596,technical,TRUE
1.1491374855509324,1.3780274736977025,technical,TRUE
0.913096558145817,1.6087555159536084,technical,TRUE
-0.9358907065275855,-1.3907090333731655,technical,TRUE
0.9917768672808555,-0.23706882209363675,technical,TRUE
-1.958734725283085,0.6858433469299856,technical,TRUE
-0.9358907065275855,-0.871570938297378,technical,TRUE
-0.8178702428250278,-1.5060730545011183,technical,TRUE
-1.8407142615805272,-0.5831608854774956,technical,TRUE
-0.8178702428250278,-1.5060730545011183,technical,TRUE
0.5590351670381443,1.6087555159536084,technical,TRUE
-2.062854390407913,0.6826786646928791,support,TRUE
